Week,Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Optimization score,Campaign type,Avg. CPV,Avg. CPM,Interactions,Interaction rate,Avg. cost,Cost,CTR,Engagement rate,Invalid Interaction rate,Avg. target cost per in-app action,Avg. watch time / impr.,Impr. (Top) %,Invalid clicks,Views,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,Avg. target CPA optimization,Avg. target CPA,View rate (In-stream),View rate (In-feed),View rate (Shorts),Impr. (co-viewed),Invalid click rate,All video ad seq. impr.,Engagements,Invalid Interactions,Avg. CPE,Avg. target ROAS optimization,Avg. target ROAS,Watch time,Impr. (Abs. Top) %,Number of disapproved keywords,Number of eligible sitelinks (legacy),Number of eligible images (upgraded),Ad strength details,Number of eligible keywords,Number of disapproved ads,Number of eligible responsive search ads,Number of eligible ads,Number of eligible ad groups,Number of eligible sitelinks (upgraded),Number of eligible images (legacy),Contact,Purchase,Add to cart,Phone call lead,Results value,Outbound click,Results,Download,Submit lead form,Viewable impr.,Measurable cost,Viewable impr. distrib.,Non-viewable impr.,Measurable rate,Non-viewable impr. distrib.,Measurable impr.,Avg. viewable CPM,Non-measurable impr. distrib.,Non-measurable impr.,Viewable CTR,Viewable rate,Value adjustment,Value / conv.,Conv. rate,Conv. value / click,New customer lifetime value,Conversions (by conv. time),Conv. value (by conv. time),Value / conv. (by conv. time),All conv. rate,Value / all conv.,All conv. value,All value adjustment,Cost / all conv.,All conv. value / click,All conv.,All conv. value / cost,All new customer lifetime value,All conv. (by conv. time),All conv. value (by conv. time),Value / all conv. (by conv. time),Units sold,Cost of goods sold,Cross-sell cost of goods sold,Lead cost of goods sold,Cross-device conv. value (by conv. time),Avg. order value,Gross profit margin,Lead gross profit,Cross-sell gross profit,Cross-device conv. (by conv. time),Revenue,Gross profit,Lead units sold,Cross-sell units sold,Cross-device conv. value,Orders,Avg. cart size,Lead revenue,Cross-sell revenue,Cross-device conv.,View-through conv.,New customers,Store visits,Store visit value,Store visit value / Store visit,View-through store visits,Currency code,Est. add. cost/wk (rec. budget),Est. add. interactions/wk (rec. budget),Recommended budget,Conversions (current model),Value / conv. (current model),"Conv. value (current model, by conv. time)",Store visits (data-driven),Cost / conv. (current model),Conv. value / click (current model),"Value / conv. (current model, by conv. time)",Store visits (last click),Conv. rate (current model),Conv. value / cost (current model),Conv. value (current model),"Conversions (current model, by conv. time)",Bid strategy,Target ROAS,Label,Campaign subtype,Target CPA,Max CPC Bid Limit for Target IS,Conversion goals,Target Impression Share,Account optimization headroom,Campaign ID,Location Goal for Target IS,Campaign group,Search impr. share,Search top IS,Search abs. top IS,Search lost IS (rank),Search lost top IS (budget),Search lost IS (budget),Search lost abs. top IS (rank),Search lost top IS (rank),Search lost abs. top IS (budget),Display lost IS (budget),Display impr. share,Relative CTR,Display lost IS (rank),Search exact match IS,Click share,Phone calls,Phone impr.,PTR,Chat rate,Message impr.,Chats,Earned likes,Earned views,Earned playlist additions,Earned shares,Earned subscribers,Keyword changes,Network changes,Bid changes,Ad changes,Budget changes,Targeting changes,All changes,Status changes,Avg. impr. freq. / user,1+,2+,3+,4+,5+,10+,Unique users,Avg. impr. freq. / user (7 days),Avg. impr. freq. / user (30 days),Gmail clicks to website,Gmail saves,Gmail forwards,%LeadCuento,ADC Lead,Donación,Festeja Lead,Paso 0 %,Paso Dona,ROAS LTV Prom,Valor Donaciones x8,$CuentoDona,Dona %,Donar Cuentos,Lead Cuentos,Paso 1,Paso Dona %,VAC Dona,ADC Donar,Dona Valor,Festeja Dona,Paso 0,Paso 1 %,ROAS LTM x8,VAC Lead,Impr.,Bid strategy type,Clicks,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.
4/1/2024,Enabled,conversiones_prospect_drtv_pmax_AO2, --,ARS,53700,Daily,Eligible,unknown,100,Performance Max,3.38,655.13,"15,786",3.79%,17.28,272748.66,1.91%,30.27%,14.83%, --, --, --,926,"6,381", --, --, --, --, --,25000,37.51%,0.23%,1.99%,"416,327",10.41%,0,"7,980","2,748",2.71, --, --, --, --,,,0, --,,0,,0,0,4,,6.7,4,0,3,Phone call lead: 3.00; Purchase: 4.00,0,Contact: 6.70; Phone call lead: 3.00; Purchase: 4.00,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"416,327", --, --,0,1,0.03%,0,4,3,3,1,0.09%,0.45,8,0,15406.15,0,17.7,0,4,12.68,7.01,0.55,0,0, --, --,0,0, --, --, --,1,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,ARS, --, --, --,4,1,3,0,68187.17,0,1,0,0.03%,0,4,3, --, --, --,Standard,25000, --,[PURCHASE/WEBSITE], --,0.00%,20621697999, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,63.29%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"416,327",Maximize Conversions (Target CPA),"7,971",4,0,4,34.22,68187.17
3/11/2024,Enabled,conversiones_prospect_drtv_pmax_AO2, --,ARS,53700,Daily,Eligible,unknown,100,Performance Max,2.78,1481.19,"14,077",7.51%,19.73,277799.91,1.99%,33.57%,11.40%, --,9.6, --,445,"8,486", --, --, --, --, --,25000,36.53%,0.08%,2.26%,"187,552",10.66%,0,"10,552","1,812",2.24, --, --,"221,045", --,,,0, --,,0,,0,0,4,,4.99,12.67,0,3,Phone call lead: 3.00; Purchase: 12.67; Submit lead form: 0.01,0,Contact: 4.99; Phone call lead: 3.00; Purchase: 12.67; Submit lead form: 0.01,0,0.01,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"187,552", --, --,0,1,0.09%,0,12.67,12.67,12.67,1,0.15%,0.69,16.67,0,11443.4,0,24.28,0,13.67,23.35,16.67,0.71,0,0, --, --,1,0, --, --, --,1,0,0,0,0,1,0,0,0,0,1,3,12.67,0,0,0,0,ARS, --, --, --,12.67,1,12.67,0,21931.57,0,1,0,0.09%,0,12.67,12.67, --, --, --,Standard,25000, --,[PURCHASE/WEBSITE], --,0.00%,20621697999, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,59.30%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,13.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"187,552",Maximize Conversions (Target CPA),"3,728",12.67,0,12.67,74.52,21931.57
3/25/2024,Enabled,conversiones_prospect_drtv_pmax_AO2, --,ARS,53700,Daily,Eligible,unknown,100,Performance Max,3.56,1257.11,"11,107",5.61%,22.39,248707.42,2.37%,36.45%,12.75%, --, --, --,498,"5,209", --, --, --, --, --,25000,38.56%,0.21%,2.82%,"197,841",9.60%,0,"6,510","1,623",2.91, --, --, --, --,,,0, --,,0,,0,0,4,,8.01,10.03,0,3,Phone call lead: 3.00; Purchase: 10.03,0,Contact: 8.01; Phone call lead: 3.00; Purchase: 10.03,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"197,841", --, --,0,1,0.09%,0,10.03,10,10,1,0.20%,0.45,14.03,0,8011.86,0,31.04,0,10.03,40,15,0.37,0,0, --, --,2,0, --, --, --,6,0,0,0,0,2,0,0,0,0,5,9,10.03,0,0,0,0,ARS, --, --, --,10.03,1,10,0,24788.13,0,1,0,0.09%,0,10.03,10, --, --, --,Standard,25000, --,[PURCHASE/WEBSITE], --,0.00%,20621697999, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,64.05%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"197,841",Maximize Conversions (Target CPA),"4,689",10.03,0,10.03,53.04,24788.13
4/15/2024,Enabled,conversiones_prospect_drtv_pmax_AO2, --,ARS,53700,Daily,Eligible,unknown,100,Performance Max,3.24,1777.61,"6,964",5.43%,32.72,227883.96,2.99%,22.47%,11.30%, --, --, --,382,"2,487", --, --, --, --, --,25000,36.46%,0.06%,2.40%,"128,197",9.06%,0,"3,219",887,2.51, --, --, --, --,,,0, --,,0,,0,0,4,,0,11,0,2,Phone call lead: 2.00; Purchase: 11.00,0,Phone call lead: 2.00; Purchase: 11.00,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"128,197", --, --,0,1,0.16%,0,11,12,12,1,0.19%,1,13,0,17529.54,0,13,0,11,22.02,15,0.68,0,0, --, --,1,0, --, --, --,6,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,ARS, --, --, --,11,1,12,0,20716.72,0,1,0,0.16%,0,11,12, --, --, --,Standard,25000, --,[PURCHASE/WEBSITE], --,0.00%,20621697999, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,54.58%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"128,197",Maximize Conversions (Target CPA),"3,834",11,0,11,59.44,20716.72
1/29/2024,Enabled,conversiones_prospect_drtv_pmax_AO2, --,ARS,53700,Daily,Eligible,unknown,100,Performance Max,2.99,465.33,"7,586",11.77%,3.95,30001.38,1.09%,15.64%,17.24%, --, --, --,39,"4,976", --, --, --, --, --,20000,30.99%,0.13%,0.85%,"64,473",5.28%,0,"7,285","1,580",2.04, --, --, --, --,,,0, --,,0,,0,0,4,,7.84,2.98,0,3,Phone call lead: 3.00; Purchase: 2.98,0,Contact: 7.84; Phone call lead: 3.00; Purchase: 2.98,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"64,473", --, --,0,1,0.04%,0,2.98,3,3,1,0.20%,0.47,7.98,0,1783.88,0,16.82,0,3.98,13,8,0.62,0,0, --, --,0,0, --, --, --,1,0,0,0,0,0,0,0,0,0,0,2,2.98,0,0,0,0,ARS, --, --, --,2.98,1,3,0,10069.97,0,1,0,0.04%,0,2.98,3, --, --, --,Standard,25000, --,[PURCHASE/WEBSITE], --,0.00%,20621697999, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,90.53%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"64,473",Maximize Conversions (Target CPA),700,2.98,0,2.98,42.86,10069.97
3/4/2024,Enabled,conversiones_prospect_drtv_pmax_AO2, --,ARS,53700,Daily,Eligible,unknown,100,Performance Max,2.85,1076.46,"13,803",10.21%,10.55,145582.86,1.70%,30.22%,9.36%, --,9.5, --,221,"9,498", --, --, --, --, --,25000,34.88%,0.16%,2.38%,"135,242",8.75%,0,"11,781","1,426",2.3, --, --,"256,284", --,,,0, --,,0,,0,0,4,,9.01,9,0,8,Phone call lead: 8.00; Purchase: 9.00,0,Contact: 9.01; Phone call lead: 8.00; Purchase: 9.00,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"135,242", --, --,0,1,0.07%,0,9,8,8,1,0.20%,0.57,20,0,4158.02,0,35.01,0,10,37.02,18,0.49,0,0, --, --,0,0, --, --, --,5,0,0,0,0,0,0,0,0,0,2,8,9,0,0,0,0,ARS, --, --, --,9,1,8,0,16175.87,0,1,0,0.07%,0,9,8, --, --, --,Standard,25000, --,[PURCHASE/WEBSITE], --,0.00%,20621697999, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,78.22%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"135,242",Maximize Conversions (Target CPA),"2,304",9,0,9,63.19,16175.87
2/12/2024,Enabled,conversiones_prospect_drtv_pmax_AO2, --,ARS,53700,Daily,Eligible,unknown,100,Performance Max,2.46,672.92,"11,597",12.40%,5.43,62938.69,1.28%,24.43%,5.47%, --,9.2, --,70,"8,187", --, --, --, --, --,20000,32.14%,0.15%,1.85%,"93,531",5.54%,0,"10,738",671,1.88, --, --,"235,517", --,,,0, --,,0,,0,0,4,,11.26,3,0,1,Phone call lead: 1.00; Purchase: 3.00,0,Contact: 11.26; Phone call lead: 1.00; Purchase: 3.00,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"93,531", --, --,0,1,0.03%,0,2,3,3,1,0.13%,0.2,4,0,3106.95,0,20.26,0,2,15.5,4,0.26,0,0, --, --,0,0, --, --, --,2,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,ARS, --, --, --,3,1,3,0,20979.56,0,1,0,0.03%,0,3,3, --, --, --,Standard,25000, --,[PURCHASE/WEBSITE], --,0.00%,20621697999, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,88.37%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"93,531",Maximize Conversions (Target CPA),"1,194",3,0,3,52.71,20979.56
2/5/2024,Enabled,conversiones_prospect_drtv_pmax_AO2, --,ARS,53700,Daily,Eligible,unknown,100,Performance Max,2.57,689.49,"16,789",14.25%,4.84,81211.65,1.21%,20.25%,5.72%, --,9.1, --,90,"11,829", --, --, --, --, --,20000,30.75%,0.11%,1.61%,"117,785",5.95%,0,"16,095","1,019",1.89, --, --,"347,753", --,,,0, --,,0,,0,0,4,,11.16,4.99,0,3,Phone call lead: 3.00; Purchase: 4.99,0,Contact: 11.16; Phone call lead: 3.00; Purchase: 4.99,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"117,785", --, --,0,1,0.03%,0,4.99,6,6,1,0.13%,0.34,9.99,0,2786.34,0,29.15,0,4.99,29.02,11,0.38,0,0, --, --,1,0, --, --, --,2,0,0,0,0,1,0,0,0,0,3,8,4.99,0,0,0,0,ARS, --, --, --,4.99,1,6,0,16279.32,0,1,0,0.03%,0,4.99,6, --, --, --,Standard,25000, --,[PURCHASE/WEBSITE], --,0.00%,20621697999, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,92.58%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"117,785",Maximize Conversions (Target CPA),"1,423",4.99,0,4.99,57.07,16279.32
3/18/2024,Enabled,conversiones_prospect_drtv_pmax_AO2, --,ARS,53700,Daily,Eligible,unknown,100,Performance Max,2.59,1663.37,"11,903",6.80%,24.48,291351.22,2.78%,32.24%,10.06%, --, --, --,456,"5,795", --, --, --, --, --,25000,38.65%,0.16%,1.67%,"175,157",8.57%,0,"7,171","1,331",2.09, --, --, --, --,,,0, --,,0,,0,0,4,,15.46,13,0,2,Phone call lead: 2.00; Purchase: 13.00,0,Contact: 15.46; Phone call lead: 2.00; Purchase: 13.00,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"175,157", --, --,0,1,0.11%,0,13,14,14,1,0.26%,0.51,16,0,9254.93,0,31.48,0,13,27.41,17,0.62,0,0, --, --,0,0, --, --, --,1,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,ARS, --, --, --,13,1,14,0,22411.63,0,1,0,0.11%,0,13,14, --, --, --,Standard,25000, --,[PURCHASE/WEBSITE], --,0.00%,20621697999, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,57.23%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"175,157",Maximize Conversions (Target CPA),"4,864",13,0,13,59.9,22411.63
4/22/2024,Enabled,conversiones_prospect_drtv_pmax_AO2, --,ARS,53700,Daily,Eligible,unknown,100,Performance Max,3.53,2529.34,"5,296",6.05%,41.83,221531.83,3.91%,20.88%,9.16%, --, --, --,316,"1,495", --, --, --, --, --,25000,37.91%,0.11%,3.75%,"87,585",8.44%,0,"1,938",534,2.72, --, --, --, --,,,0, --,,0,,0,0,4,,3,9.97,0,1,Phone call lead: 1.00; Purchase: 9.97,0,Contact: 3.00; Phone call lead: 1.00; Purchase: 9.97,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,100.00%,"87,585", --, --,0,1,0.19%,0,9.97,10.67,10.67,1,0.26%,0.79,10.97,0,15857.8,0,13.97,0,9.97,14.69,11.67,0.79,0,0, --, --,0,0, --, --, --,1,0,0,0,0,0,0,0,0,0,1,0,9.97,0,0,0,0,ARS, --, --, --,9.97,1,10.67,0,22220.07,0,1,0,0.19%,0,9.97,10.67, --, --, --,Standard,25000, --,[PURCHASE/WEBSITE], --,0.00%,20621697999, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,55.10%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,9.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"87,585",Maximize Conversions (Target CPA),"3,426",9.97,0,9.97,64.66,22220.07
