Week,Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Campaign type,Interactions,Interaction rate,Avg. cost,Cost,CTR,Conversions,Clicks,Impr.,All video ad seq. impr.,Engagements,Engagement rate,Invalid clicks,Invalid click rate,Invalid Interactions,Invalid Interaction rate,Avg. CPC,Avg. CPE,Avg. CPM,Avg. CPV,Avg. target CPA optimization,Avg. target CPA,Avg. target ROAS optimization,Avg. target ROAS,Avg. target cost per in-app action,Views,View rate (In-stream),View rate (In-feed),View rate (Shorts),Watch time,Avg. watch time / impr.,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,Impr. (co-viewed),Impr. (Abs. Top) %,Impr. (Top) %,Number of eligible ads,Number of disapproved ads,Number of eligible keywords,Number of disapproved keywords,Number of eligible ad groups,Number of eligible responsive search ads,Ad strength details,Number of eligible sitelinks (legacy),Number of eligible sitelinks (upgraded),Number of eligible images (legacy),Number of eligible images (upgraded),Results,Results value,Download,Purchase,Signup,Viewable impr.,Non-viewable impr.,Measurable impr.,Non-measurable impr.,Measurable cost,Measurable rate,Avg. viewable CPM,Viewable CTR,Viewable impr. distrib.,Non-viewable impr. distrib.,Non-measurable impr. distrib.,Viewable rate,Cost / conv.,Conv. rate,Conv. value,Conv. value / cost,Conv. value / click,Value / conv.,Value adjustment,New customer lifetime value,Conversions (by conv. time),Conv. value (by conv. time),Value / conv. (by conv. time),All conv.,Cost / all conv.,All conv. rate,All conv. value,All conv. value / cost,All conv. value / click,Value / all conv.,All value adjustment,All new customer lifetime value,All conv. (by conv. time),All conv. value (by conv. time),Value / all conv. (by conv. time),Orders,Revenue,Avg. order value,Units sold,Avg. cart size,Gross profit,Gross profit margin,Cost of goods sold,Lead revenue,Lead units sold,Lead gross profit,Lead cost of goods sold,Cross-sell revenue,Cross-sell units sold,Cross-sell gross profit,Cross-sell cost of goods sold,Cross-device conv.,Cross-device conv. value,Cross-device conv. (by conv. time),Cross-device conv. value (by conv. time),View-through conv.,New customers,Currency code,Recommended budget,Est. add. interactions/wk (rec. budget),Est. add. cost/wk (rec. budget),Conversions (current model),Cost / conv. (current model),Conv. rate (current model),Conv. value (current model),Value / conv. (current model),Conv. value / click (current model),Conv. value / cost (current model),"Conversions (current model, by conv. time)","Conv. value (current model, by conv. time)","Value / conv. (current model, by conv. time)",Campaign ID,Campaign subtype,Bid strategy,Bid strategy type,Optimization score,Target CPA,Target ROAS,Location Goal for Target IS,Target Impression Share,Max CPC Bid Limit for Target IS,Label,Campaign group,Account optimization headroom,Conversion goals,Search impr. share,Search top IS,Search abs. top IS,Search lost IS (rank),Search lost top IS (rank),Search lost abs. top IS (rank),Search lost IS (budget),Search lost top IS (budget),Search lost abs. top IS (budget),Search exact match IS,Display impr. share,Display lost IS (rank),Display lost IS (budget),Click share,Bounce rate (UA),Pages / session (UA),Avg. session duration (seconds) (UA),% New sessions (UA),% Engaged sessions (GA4),Events / session (GA4),Avg. engagement duration per session (seconds) (GA4),Phone calls,Phone impr.,PTR,Chats,Message impr.,Chat rate,Earned likes,Earned playlist additions,Earned shares,Earned subscribers,Earned views,All changes,Budget changes,Bid changes,Keyword changes,Status changes,Targeting changes,Ad changes,Network changes,Avg. impr. freq. / user,Unique users,Avg. impr. freq. / user (7 days),Avg. impr. freq. / user (30 days),1+,2+,3+,4+,5+,10+
4/8/2024,Enabled,UNICEF | MS | DRTV | Brand | Conversions, --,USD,160,Daily,Eligible (Limited),limited by budget; unknown,Search,569,18.72%,1.34,763.93,18.72%,4.98,569,"3,039",0,0, --,25,4.21%,25,4.21%,1.34,0,251.37,0, --,177.64, --, --, --,0, --, --, --, --, --, --, --, --, --,"3,039",80.77%,82.75%,4,0,54,27,2,4,"Pending: 0
No Ads: 0
Poor: 0
Average: 2
Good: 0
Excellent: 2",0,5,0,5,Sign-up: 4.98,Sign-up: 74.76,0,0,4.98,0,0,0,"3,039",0,0.00%,0, --,0.00%,0.00%,100.00%, --,153.27,0.88%,74.76,0.1,0.13,15,0,0,4.98,74.76,15,5.82,131.2,1.02%,457.44,0.6,0.8,78.56,0,8.3,5.11,208.62,40.81,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD,420,691,1178.62,4.98,153.27,0.88%,74.76,15,0.13,0.1,4.98,74.76,15,20498015995,Standard, --,Maximize Conversions (Target CPA),100,100, --, --, --, --, --, --,0.00%,[SIGNUP/WEBSITE],18.92%,15.65%,15.28%,20.37%,22.66%,23.04%,60.71%,61.69%,61.69%,28.16%, --, --, --,16.19%, --,0,0, --,33.99%,3.93,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3/18/2024,Enabled,UNICEF | MS | DRTV | Brand | Conversions, --,USD,160,Daily,Eligible (Limited),limited by budget; unknown,Search,"1,057",19.75%,1.16,1222.61,19.75%,13.87,"1,057","5,353",0,0, --,65,5.79%,65,5.79%,1.16,0,228.4,0, --,177.47, --, --, --,0, --, --, --, --, --, --, --, --, --,"5,353",86.34%,87.62%,4,0,54,27,2,4,"Pending: 0
No Ads: 0
Poor: 0
Average: 2
Good: 0
Excellent: 2",0,5,0,5,Sign-up: 13.87,Sign-up: 208.11,0,0,13.87,0,0,0,"5,353",0,0.00%,0, --,0.00%,0.00%,100.00%, --,88.12,1.31%,208.11,0.17,0.2,15,0,0,15,225,15,21.79,56.11,2.06%,814.03,0.67,0.77,37.36,0,78.37,25,833,33.32,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,1,1,0,0,USD,420,691,1178.62,13.87,88.12,1.31%,208.11,15,0.2,0.17,15,225,15,20498015995,Standard, --,Maximize Conversions (Target CPA),100,100, --, --, --, --, --, --,0.00%,[SIGNUP/WEBSITE],39.46%,34.64%,34.13%,53.62%,58.45%,58.96%,6.91%,6.91%,6.91%,47.78%, --, --, --,47.23%, --,0,0, --,54.44%,5.76,36.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3/11/2024,Enabled,UNICEF | MS | DRTV | Brand | Conversions, --,USD,160,Daily,Eligible (Limited),limited by budget; unknown,Search,968,21.00%,1.39,1347.64,21.00%,7.14,968,"4,610",0,0, --,73,7.01%,73,7.01%,1.39,0,292.33,0, --,177.86, --, --, --,0, --, --, --, --, --, --, --, --, --,"4,610",86.67%,87.85%,4,0,54,27,2,4,"Pending: 0
No Ads: 0
Poor: 0
Average: 2
Good: 0
Excellent: 2",0,5,0,5,Sign-up: 7.14,Sign-up: 107.16,0,0,7.14,0,0,0,"4,610",0,0.00%,0, --,0.00%,0.00%,100.00%, --,188.64,0.74%,107.16,0.08,0.11,15,0,0,8,119.96,15,14.66,91.91,1.51%,114.68,0.09,0.12,7.82,0,74.44,17,128.96,7.59,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD,420,691,1178.62,7.14,188.64,0.74%,107.16,15,0.11,0.08,8,119.96,15,20498015995,Standard, --,Maximize Conversions (Target CPA),100,100, --, --, --, --, --, --,0.00%,[SIGNUP/WEBSITE],30.67%,26.97%,26.61%,35.22%,38.55%,38.92%,34.11%,34.48%,34.48%,35.24%, --, --, --,31.56%, --,0,0, --,61.66%,6.04,46.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
4/29/2024,Enabled,UNICEF | MS | DRTV | Brand | Conversions, --,USD,160,Daily,Eligible (Limited),limited by budget; unknown,Search,110,11.24%,2.16,237.59,11.24%,3,110,979,0,0, --,5,4.35%,5,4.35%,2.16,0,242.68,0, --,176.79, --, --, --,0, --, --, --, --, --, --, --, --, --,979,67.24%,70.39%,4,0,54,27,2,4,"Pending: 0
No Ads: 0
Poor: 0
Average: 2
Good: 0
Excellent: 2",0,5,0,5,Sign-up: 3.00,Sign-up: 45.00,0,0,3,0,0,0,979,0,0.00%,0, --,0.00%,0.00%,100.00%, --,79.2,2.73%,45,0.19,0.41,15,0,0,3,45,15,3,79.2,2.73%,45,0.19,0.41,15,0,0,3,45,15,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD,420,691,1178.62,3,79.2,2.73%,45,15,0.41,0.19,3,45,15,20498015995,Standard, --,Maximize Conversions (Target CPA),100,100, --, --, --, --, --, --,0.00%,[SIGNUP/WEBSITE],< 10%,< 10%,< 10%,> 90%,> 90%,> 90%,0.00%,0.00%,0.00%,14.19%, --, --, --, --, --,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2/19/2024,Enabled,UNICEF | MS | DRTV | Brand | Conversions, --,USD,160,Daily,Eligible (Limited),limited by budget; unknown,Search,"1,120",20.05%,1.1,1235.14,20.05%,19.33,"1,120","5,585",0,0, --,113,9.16%,113,9.16%,1.1,0,221.15,0, --,177.18, --, --, --,0, --, --, --, --, --, --, --, --, --,"5,585",84.98%,86.71%,4,0,54,27,2,4,"Pending: 0
No Ads: 0
Poor: 0
Average: 2
Good: 0
Excellent: 2",0,5,0,5,Sign-up: 19.33,Sign-up: 289.92,0,0,19.33,0,0,0,"5,585",0,0.00%,0, --,0.00%,0.00%,100.00%, --,63.9,1.73%,289.92,0.23,0.26,15,0,0,18.98,284.65,15,38.98,31.69,3.48%,309.58,0.25,0.28,7.94,0,194.57,38.6,304.27,7.88,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD,420,691,1178.62,19.33,63.9,1.73%,289.92,15,0.26,0.23,18.98,284.65,15,20498015995,Standard, --,Maximize Conversions (Target CPA),100,100, --, --, --, --, --, --,0.00%,[SIGNUP/WEBSITE],34.40%,29.91%,29.31%,65.60%,70.09%,70.69%,0.00%,0.00%,0.00%,40.87%, --, --, --,42.84%, --,0,0, --,59.75%,7.05,48.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3/4/2024,Enabled,UNICEF | MS | DRTV | Brand | Conversions, --,USD,160,Daily,Eligible (Limited),limited by budget; unknown,Search,884,20.71%,1.24,1093.22,20.71%,12.59,884,"4,268",0,0, --,42,4.54%,42,4.54%,1.24,0,256.14,0, --,178.29, --, --, --,0, --, --, --, --, --, --, --, --, --,"4,268",87.22%,88.70%,4,0,54,27,2,4,"Pending: 0
No Ads: 0
Poor: 0
Average: 2
Good: 0
Excellent: 2",0,5,0,5,Sign-up: 12.59,Sign-up: 188.80,0,0,12.59,0,0,0,"4,268",0,0.00%,0, --,0.00%,0.00%,100.00%, --,86.86,1.42%,188.8,0.17,0.21,15,0,0,14,210,15,25.99,42.07,2.94%,202.2,0.18,0.23,7.78,0,132.67,29,225,7.76,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD,420,691,1178.62,12.59,86.86,1.42%,188.8,15,0.21,0.17,14,210,15,20498015995,Standard, --,Maximize Conversions (Target CPA),100,100, --, --, --, --, --, --,0.00%,[SIGNUP/WEBSITE],29.64%,26.29%,25.85%,24.38%,27.01%,27.45%,45.97%,46.70%,46.70%,35.22%, --, --, --,28.68%, --,0,0, --,63.09%,6.14,40.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1/29/2024,Enabled,UNICEF | MS | DRTV | Brand | Conversions, --,USD,160,Daily,Eligible (Limited),limited by budget; unknown,Search,663,17.42%,1.23,818.41,17.42%,7.54,663,"3,806",0,0, --,19,2.79%,19,2.79%,1.23,0,215.03,0, --,173.63, --, --, --,0, --, --, --, --, --, --, --, --, --,"3,806",87.83%,89.16%,4,0,54,27,2,4,"Pending: 0
No Ads: 0
Poor: 0
Average: 2
Good: 0
Excellent: 2",0,5,0,5,Sign-up: 7.54,Sign-up: 113.04,0,0,7.54,0,0,0,"3,806",0,0.00%,0, --,0.00%,0.00%,100.00%, --,108.6,1.14%,113.04,0.14,0.17,15,0,0,7,105,15,16.07,50.93,2.42%,121.58,0.15,0.18,7.57,0,84.48,15,113,7.53,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD,420,691,1178.62,7.54,108.6,1.14%,113.04,15,0.17,0.14,7,105,15,20498015995,Standard, --,Maximize Conversions (Target CPA),100,100, --, --, --, --, --, --,0.00%,[SIGNUP/WEBSITE],25.88%,23.14%,22.80%,65.24%,67.98%,68.33%,8.88%,8.87%,8.87%,32.18%, --, --, --,31.21%, --,0,0, --,56.26%,5.44,48.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2/12/2024,Enabled,UNICEF | MS | DRTV | Brand | Conversions, --,USD,160,Daily,Eligible (Limited),limited by budget; unknown,Search,831,20.75%,1.35,1118.68,20.75%,9.66,831,"4,004",0,0, --,35,4.04%,35,4.04%,1.35,0,279.39,0, --,177.53, --, --, --,0, --, --, --, --, --, --, --, --, --,"4,004",83.28%,84.84%,4,0,54,27,2,4,"Pending: 0
No Ads: 0
Poor: 0
Average: 2
Good: 0
Excellent: 2",0,5,0,5,Sign-up: 9.66,Sign-up: 144.93,0,0,9.66,0,0,0,"4,004",0,0.00%,0, --,0.00%,0.00%,100.00%, --,115.79,1.16%,144.93,0.13,0.17,15,0,0,9,135.02,15,21.24,52.67,2.56%,156.5,0.14,0.19,7.37,0,114.61,20,146.02,7.3,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD,420,691,1178.62,9.66,115.79,1.16%,144.93,15,0.17,0.13,9,135.02,15,20498015995,Standard, --,Maximize Conversions (Target CPA),100,100, --, --, --, --, --, --,0.00%,[SIGNUP/WEBSITE],27.95%,23.76%,23.32%,70.72%,74.90%,75.34%,1.34%,1.34%,1.34%,34.11%, --, --, --,33.65%, --,0,0, --,60.39%,6.4,55.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
4/15/2024,Enabled,UNICEF | MS | DRTV | Brand | Conversions, --,USD,160,Daily,Eligible (Limited),limited by budget; unknown,Search,556,15.61%,1.19,663.84,15.61%,13.64,556,"3,561",0,0, --,39,6.55%,39,6.55%,1.19,0,186.42,0, --,175.4, --, --, --,0, --, --, --, --, --, --, --, --, --,"3,561",74.81%,77.38%,4,0,54,27,2,4,"Pending: 0
No Ads: 0
Poor: 0
Average: 2
Good: 0
Excellent: 2",0,5,0,5,Sign-up: 13.64,Sign-up: 204.55,0,0,13.64,0,0,0,"3,561",0,0.00%,0, --,0.00%,0.00%,100.00%, --,48.68,2.45%,204.55,0.31,0.37,15,0,0,14.64,219.55,15,16.64,39.9,2.99%,"1,304.55",1.97,2.35,78.41,0,29.7,19.35,"1,868.37",96.57,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,0,0,0,0,0,0,USD,420,691,1178.62,13.64,48.68,2.45%,204.55,15,0.37,0.31,14.64,219.55,15,20498015995,Standard, --,Maximize Conversions (Target CPA),100,100, --, --, --, --, --, --,0.00%,[SIGNUP/WEBSITE],11.32%,< 10%,< 10%,23.96%,25.73%,26.02%,64.73%,65.53%,65.53%,20.55%, --, --, --,10.90%, --,0,0, --,38.33%,4.43,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2/5/2024,Enabled,UNICEF | MS | DRTV | Brand | Conversions, --,USD,160,Daily,Eligible (Limited),limited by budget; unknown,Search,732,17.71%,1.18,860.57,17.71%,11.18,732,"4,133",0,0, --,23,3.05%,23,3.05%,1.18,0,208.22,0, --,177.38, --, --, --,0, --, --, --, --, --, --, --, --, --,"4,133",83.79%,85.17%,4,0,54,27,2,4,"Pending: 0
No Ads: 0
Poor: 0
Average: 2
Good: 0
Excellent: 2",0,5,0,5,Sign-up: 11.18,Sign-up: 167.71,0,0,11.18,0,0,0,"4,133",0,0.00%,0, --,0.00%,0.00%,100.00%, --,76.97,1.53%,167.71,0.19,0.23,15,0,0,11,165,15,26.18,32.87,3.58%,182.71,0.21,0.25,6.98,0,148.5,28,182,6.5,0,0,0,0,0,0, --,0,0,0, --, --,0,0, --, --,1,1,0,0,0,0,USD,420,691,1178.62,11.18,76.97,1.53%,167.71,15,0.23,0.19,11,165,15,20498015995,Standard, --,Maximize Conversions (Target CPA),100,100, --, --, --, --, --, --,0.00%,[SIGNUP/WEBSITE],24.65%,21.01%,20.67%,62.19%,65.79%,66.13%,13.16%,13.20%,13.20%,31.42%, --, --, --,28.62%, --,0,0, --,55.76%,6.04,39.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
