Week,Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Optimization score,Campaign type,Avg. CPV,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Search impr. share,CTR,All video ad seq. impr.,Invalid clicks,Invalid Interaction rate,Avg. CPE,Avg. target CPA optimization,Avg. target CPA,Views,Engagements,Invalid click rate,Engagement rate,Invalid Interactions,Avg. target cost per in-app action,Watch time,Avg. target ROAS optimization,Avg. target ROAS,View rate (In-stream),View rate (In-feed),View rate (Shorts),Avg. watch time / impr.,Impr. (Abs. Top) %,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,Impr. (Top) %,Impr. (co-viewed),Number of eligible sitelinks (upgraded),Number of eligible responsive search ads,Number of eligible keywords,Number of disapproved ads,Number of eligible ad groups,Number of eligible sitelinks (legacy),Number of eligible images (upgraded),Number of eligible ads,Number of disapproved keywords,Ad strength details,Number of eligible images (legacy),Results,Purchase,Results value,Qualified lead,Add to cart,Measurable impr.,Measurable rate,Viewable impr. distrib.,Viewable rate,Non-viewable impr.,Measurable cost,Viewable CTR,Non-measurable impr. distrib.,Viewable impr.,Non-measurable impr.,Avg. viewable CPM,Non-viewable impr. distrib.,Conv. value,Value / conv.,Conversions (by conv. time),Conv. value (by conv. time),Value adjustment,Conv. value / cost,Conv. value / click,New customer lifetime value,Value / conv. (by conv. time),All conv. value / click,All conv. rate,All new customer lifetime value,Value / all conv. (by conv. time),Avg. order value,Gross profit,Avg. cart size,Revenue,All conv. value (by conv. time),All value adjustment,All conv. value / cost,Cost / all conv.,All conv.,All conv. value,Value / all conv.,All conv. (by conv. time),Orders,Units sold,Gross profit margin,Lead units sold,Cross-sell revenue,Cross-sell cost of goods sold,Cross-device conv.,Cost of goods sold,Lead gross profit,Cross-sell units sold,Cross-device conv. value,Lead revenue,Lead cost of goods sold,Cross-sell gross profit,Cross-device conv. (by conv. time),Cross-device conv. value (by conv. time),View-through conv.,New customers,Conversions (current model),Conv. value (current model),Conv. value / cost (current model),"Value / conv. (current model, by conv. time)",Cost / conv. (current model),Value / conv. (current model),"Conversions (current model, by conv. time)",Conv. rate (current model),Conv. value / click (current model),"Conv. value (current model, by conv. time)",Campaign subtype,Location Goal for Target IS,Label,Conversion goals,Target ROAS,Max CPC Bid Limit for Target IS,Account optimization headroom,Campaign ID,Bid strategy,Target CPA,Target Impression Share,Campaign group,Search lost IS (rank),Search lost IS (budget),Search exact match IS,Display lost IS (budget),Search top IS,Search lost top IS (rank),Search lost top IS (budget),Display impr. share,Click share,Search abs. top IS,Search lost abs. top IS (budget),Search lost abs. top IS (rank),Display lost IS (rank),Relative CTR,PTR,Phone impr.,Phone calls,Chats,Message impr.,Chat rate,Earned shares,Earned playlist additions,Earned views,Earned likes,Earned subscribers,All changes,Keyword changes,Ad changes,Budget changes,Status changes,Network changes,Bid changes,Targeting changes,Avg. impr. freq. / user (7 days),Unique users,1+,2+,3+,4+,5+,10+,Avg. impr. freq. / user (30 days),Avg. impr. freq. / user,Gmail forwards,Gmail saves,Gmail clicks to website,Bid strategy type,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
2/26/2024,Paused,UNICEF_UNICEF Peru_Brand Keywords_Prospecting_01/06/21-31/05/22_Conversions_PE_GL_ Propuesta CATEGORIA, --,USD,338.71,Daily,Paused,campaign paused; campaign ended; unknown, --,Search,0,0,0,0, --,0,0, --, --,0,0, --,0, --, --,0,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,7,0,0,0,0,0,12,0,13,"Pending: 1
No Ads: 0
Poor: 0
Average: 1
Good: 0
Excellent: 1",0,0,0,0,0,0,0, --, --, --,0,0, --, --,0,0,0, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0, --,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0, --,0,0,Standard, --,Informe Agosto sin leads,"[ADD_TO_CART/WEBSITE, PURCHASE/WEBSITE, QUALIFIED_LEAD/WEBSITE]", --, --, --,17179637513, --,70, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Maximize Conversions (Target CPA),0,0.00%,0,0,0
2/5/2024,Paused,UNICEF_UNICEF Peru_Brand Keywords_Prospecting_01/06/21-31/05/22_Conversions_PE_GL_ Propuesta CATEGORIA, --,USD,338.71,Daily,Paused,campaign paused; campaign ended; unknown, --,Search,0,0,0,0, --,0,0, --, --,0,0, --,0, --, --,0,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,7,0,0,0,0,0,12,0,13,"Pending: 1
No Ads: 0
Poor: 0
Average: 1
Good: 0
Excellent: 1",0,0,0,0,0,0,0, --, --, --,0,0, --, --,0,0,0, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0, --,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0, --,0,0,Standard, --,Informe Agosto sin leads,"[ADD_TO_CART/WEBSITE, PURCHASE/WEBSITE, QUALIFIED_LEAD/WEBSITE]", --, --, --,17179637513, --,70, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Maximize Conversions (Target CPA),0,0.00%,0,0,0
4/8/2024,Paused,UNICEF_UNICEF Peru_Brand Keywords_Prospecting_01/06/21-31/05/22_Conversions_PE_GL_ Propuesta CATEGORIA, --,USD,338.71,Daily,Paused,campaign paused; campaign ended; unknown, --,Search,0,0,0,0, --,0,0, --, --,0,0, --,0, --, --,0,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,7,0,0,0,0,0,12,0,13,"Pending: 1
No Ads: 0
Poor: 0
Average: 1
Good: 0
Excellent: 1",0,0,0,0,0,0,0, --, --, --,0,0, --, --,0,0,0, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0, --,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0, --,0,0,Standard, --,Informe Agosto sin leads,"[ADD_TO_CART/WEBSITE, PURCHASE/WEBSITE, QUALIFIED_LEAD/WEBSITE]", --, --, --,17179637513, --,70, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Maximize Conversions (Target CPA),0,0.00%,0,0,0
2/19/2024,Paused,UNICEF_UNICEF Peru_Brand Keywords_Prospecting_01/06/21-31/05/22_Conversions_PE_GL_ Propuesta CATEGORIA, --,USD,338.71,Daily,Paused,campaign paused; campaign ended; unknown, --,Search,0,0,0,0, --,0,0, --, --,0,0, --,0, --, --,0,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,7,0,0,0,0,0,12,0,13,"Pending: 1
No Ads: 0
Poor: 0
Average: 1
Good: 0
Excellent: 1",0,0,0,0,0,0,0, --, --, --,0,0, --, --,0,0,0, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0, --,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0, --,0,0,Standard, --,Informe Agosto sin leads,"[ADD_TO_CART/WEBSITE, PURCHASE/WEBSITE, QUALIFIED_LEAD/WEBSITE]", --, --, --,17179637513, --,70, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Maximize Conversions (Target CPA),0,0.00%,0,0,0
3/4/2024,Paused,UNICEF_UNICEF Peru_Brand Keywords_Prospecting_01/06/21-31/05/22_Conversions_PE_GL_ Propuesta CATEGORIA, --,USD,338.71,Daily,Paused,campaign paused; campaign ended; unknown, --,Search,0,0,0,0, --,0,0, --, --,0,0, --,0, --, --,0,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,7,0,0,0,0,0,12,0,13,"Pending: 1
No Ads: 0
Poor: 0
Average: 1
Good: 0
Excellent: 1",0,0,0,0,0,0,0, --, --, --,0,0, --, --,0,0,0, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0, --,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0, --,0,0,Standard, --,Informe Agosto sin leads,"[ADD_TO_CART/WEBSITE, PURCHASE/WEBSITE, QUALIFIED_LEAD/WEBSITE]", --, --, --,17179637513, --,70, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Maximize Conversions (Target CPA),0,0.00%,0,0,0
3/18/2024,Paused,UNICEF_UNICEF Peru_Brand Keywords_Prospecting_01/06/21-31/05/22_Conversions_PE_GL_ Propuesta CATEGORIA, --,USD,338.71,Daily,Paused,campaign paused; campaign ended; unknown, --,Search,0,0,0,0, --,0,0, --, --,0,0, --,0, --, --,0,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,7,0,0,0,0,0,12,0,13,"Pending: 1
No Ads: 0
Poor: 0
Average: 1
Good: 0
Excellent: 1",0,0,0,0,0,0,0, --, --, --,0,0, --, --,0,0,0, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0, --,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0, --,0,0,Standard, --,Informe Agosto sin leads,"[ADD_TO_CART/WEBSITE, PURCHASE/WEBSITE, QUALIFIED_LEAD/WEBSITE]", --, --, --,17179637513, --,70, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Maximize Conversions (Target CPA),0,0.00%,0,0,0
3/11/2024,Paused,UNICEF_UNICEF Peru_Brand Keywords_Prospecting_01/06/21-31/05/22_Conversions_PE_GL_ Propuesta CATEGORIA, --,USD,338.71,Daily,Paused,campaign paused; campaign ended; unknown, --,Search,0,0,0,0, --,0,0, --, --,0,0, --,0, --, --,0,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,7,0,0,0,0,0,12,0,13,"Pending: 1
No Ads: 0
Poor: 0
Average: 1
Good: 0
Excellent: 1",0,0,0,0,0,0,0, --, --, --,0,0, --, --,0,0,0, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0, --,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0, --,0,0,Standard, --,Informe Agosto sin leads,"[ADD_TO_CART/WEBSITE, PURCHASE/WEBSITE, QUALIFIED_LEAD/WEBSITE]", --, --, --,17179637513, --,70, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Maximize Conversions (Target CPA),0,0.00%,0,0,0
1/29/2024,Paused,UNICEF_UNICEF Peru_Brand Keywords_Prospecting_01/06/21-31/05/22_Conversions_PE_GL_ Propuesta CATEGORIA, --,USD,338.71,Daily,Paused,campaign paused; campaign ended; unknown, --,Search,0,0,0,0, --,0,0, --, --,0,0, --,0, --, --,0,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,7,0,0,0,0,0,12,0,13,"Pending: 1
No Ads: 0
Poor: 0
Average: 1
Good: 0
Excellent: 1",0,0,0,0,0,0,0, --, --, --,0,0, --, --,0,0,0, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0, --,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0, --,0,0,Standard, --,Informe Agosto sin leads,"[ADD_TO_CART/WEBSITE, PURCHASE/WEBSITE, QUALIFIED_LEAD/WEBSITE]", --, --, --,17179637513, --,70, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Maximize Conversions (Target CPA),0,0.00%,0,0,0
4/22/2024,Paused,UNICEF_UNICEF Peru_Brand Keywords_Prospecting_01/06/21-31/05/22_Conversions_PE_GL_ Propuesta CATEGORIA, --,USD,338.71,Daily,Paused,campaign paused; campaign ended; unknown, --,Search,0,0,0,0, --,0,0, --, --,0,0, --,0, --, --,0,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,7,0,0,0,0,0,12,0,13,"Pending: 1
No Ads: 0
Poor: 0
Average: 1
Good: 0
Excellent: 1",0,0,0,0,0,0,0, --, --, --,0,0, --, --,0,0,0, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0, --,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0, --,0,0,Standard, --,Informe Agosto sin leads,"[ADD_TO_CART/WEBSITE, PURCHASE/WEBSITE, QUALIFIED_LEAD/WEBSITE]", --, --, --,17179637513, --,70, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Maximize Conversions (Target CPA),0,0.00%,0,0,0
3/25/2024,Paused,UNICEF_UNICEF Peru_Brand Keywords_Prospecting_01/06/21-31/05/22_Conversions_PE_GL_ Propuesta CATEGORIA, --,USD,338.71,Daily,Paused,campaign paused; campaign ended; unknown, --,Search,0,0,0,0, --,0,0, --, --,0,0, --,0, --, --,0,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,7,0,0,0,0,0,12,0,13,"Pending: 1
No Ads: 0
Poor: 0
Average: 1
Good: 0
Excellent: 1",0,0,0,0,0,0,0, --, --, --,0,0, --, --,0,0,0, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0, --,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0, --,0,0,Standard, --,Informe Agosto sin leads,"[ADD_TO_CART/WEBSITE, PURCHASE/WEBSITE, QUALIFIED_LEAD/WEBSITE]", --, --, --,17179637513, --,70, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Maximize Conversions (Target CPA),0,0.00%,0,0,0
