Week,Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Optimization score,Campaign type,Avg. CPV,Avg. CPM,Cost,Impr.,Interactions,Interaction rate,Avg. cost,Conversions,Cost / conv.,Conv. rate,Search impr. share,CTR,Engagements,Invalid click rate,Engagement rate,Invalid Interactions,All video ad seq. impr.,Invalid clicks,Invalid Interaction rate,Avg. CPE,Avg. target CPA optimization,Avg. target CPA,Views,Avg. watch time / impr.,Impr. (Abs. Top) %,Avg. target ROAS optimization,Avg. target ROAS,View rate (In-stream),View rate (In-feed),View rate (Shorts),Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,Impr. (Top) %,Avg. target cost per in-app action,Watch time,Impr. (co-viewed),Number of eligible keywords,Number of eligible responsive search ads,Number of eligible sitelinks (upgraded),Number of disapproved ads,Number of eligible ad groups,Number of eligible images (upgraded),Number of eligible sitelinks (legacy),Number of eligible ads,Number of disapproved keywords,Ad strength details,Number of eligible images (legacy),Results,Contact,Phone call lead,Results value,Download,Purchase,Begin checkout,Get directions,Submit lead form,Non-viewable impr.,Measurable cost,Non-measurable impr.,Non-viewable impr. distrib.,Non-measurable impr. distrib.,Measurable impr.,Measurable rate,Viewable impr. distrib.,Viewable rate,Conv. value / click,New customer lifetime value,Value adjustment,Value / conv.,Conversions (by conv. time),Conv. value (by conv. time),Value / conv. (by conv. time),All conv. rate,All conv. value / click,All new customer lifetime value,Value / all conv. (by conv. time),All conv. value (by conv. time),All value adjustment,All conv. value / cost,Cost / all conv.,All conv.,All conv. value,Value / all conv.,All conv. (by conv. time),Orders,Units sold,Gross profit margin,Lead units sold,Cross-sell revenue,Cross-sell cost of goods sold,Revenue,Avg. cart size,Cost of goods sold,Lead gross profit,Cross-sell units sold,Avg. order value,Gross profit,Lead revenue,Lead cost of goods sold,Cross-sell gross profit,Cross-device conv. (by conv. time),Cross-device conv. value,Cross-device conv.,Cross-device conv. value (by conv. time),View-through conv.,New customers,Store visits,View-through store visits,Store visit value,Store visit value / Store visit,Conv. rate (current model),Conv. value / click (current model),"Conv. value (current model, by conv. time)",Cost / conv. (current model),Value / conv. (current model),"Conversions (current model, by conv. time)",Conversions (current model),Conv. value (current model),Conv. value / cost (current model),"Value / conv. (current model, by conv. time)",Campaign ID,Bid strategy,Target CPA,Target Impression Share,Campaign group,Target ROAS,Max CPC Bid Limit for Target IS,Account optimization headroom,Campaign subtype,Location Goal for Target IS,Label,Conversion goals,Search abs. top IS,Search lost abs. top IS (rank),Search lost abs. top IS (budget),Display lost IS (rank),Relative CTR,Search top IS,Search lost top IS (rank),Search lost top IS (budget),Search lost IS (rank),Search lost IS (budget),Search exact match IS,Display lost IS (budget),Display impr. share,Click share,Avg. session duration (seconds) (UA),Pages / session (UA),Bounce rate (UA),% New sessions (UA),Phone calls,Phone impr.,PTR,Chat rate,Message impr.,Chats,Earned likes,Earned subscribers,Earned playlist additions,Earned shares,Earned views,Bid changes,Targeting changes,Budget changes,Status changes,All changes,Keyword changes,Ad changes,Network changes,Avg. impr. freq. / user (7 days),Unique users,1+,2+,3+,4+,5+,10+,Avg. impr. freq. / user,Avg. impr. freq. / user (30 days),Gmail forwards,Gmail saves,Gmail clicks to website,Bid strategy type,Viewable CTR,Avg. viewable CPM,Viewable impr.,Clicks,Conv. value,Conv. value / cost,Avg. CPC
2/26/2024,Paused,Crisis Ucrania. UNICEF Uruguay, --,USD,30,Daily,Paused,campaign paused, --,Smart,0,0,0,0,0, --,0,0,0,0.00%, --, --,0, --, --,0,0,0, --,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,,,,0,0,,,0,, --,,0,0,0,0,0,0,0,0,0,0,0,0, --, --,0, --, --, --,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0,0, --,0,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,16564171141, --, --, --, --, --, --, --,Standard, --, --,[], --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Maximize clicks, --,0,0,0,0,0,0
4/15/2024,Paused,0222 | DA | Ucrania | Discovery, --,USD,100,Daily,Paused,campaign paused; unknown, --,Demand Gen,0,0,0,0,0, --,0,0,0,0.00%, --, --,0, --, --,0,0,0, --,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,,,1,0,0,0,,0,, --,,0,0,0,0,0,0,0,0,0,0,0,0, --, --,0, --, --, --,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0,0, --,0,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,16414278390, --,50, --, --, --, --, --,Standard, --, --,[6443040842], --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Target CPA, --,0,0,0,0,0,0
3/25/2024,Paused,0222 | DA | Ucrania | Discovery, --,USD,100,Daily,Paused,campaign paused; unknown, --,Demand Gen,0,0,0,0,0, --,0,0,0,0.00%, --, --,0, --, --,0,0,0, --,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,,,1,0,0,0,,0,, --,,0,0,0,0,0,0,0,0,0,0,0,0, --, --,0, --, --, --,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0,0, --,0,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,16414278390, --,50, --, --, --, --, --,Standard, --, --,[6443040842], --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Target CPA, --,0,0,0,0,0,0
4/8/2024,Paused,1013 | DA | PMAX, --,USD,150,Daily,Paused,campaign paused; some asset groups limited by policy, --,Performance Max,0,0,0,0,0, --,0,0,0,0.00%, --, --,0, --, --,0,0,0, --,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,,,6,0,0,0,,0,, --,,0,0,0,0,0,0,0,0,0,0,0,0, --, --,0, --, --, --,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0,0, --,0,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,20677367434, --, --, --, --, --, --, --,Standard, --, --,[PURCHASE/WEBSITE], --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Maximize Conversion Value, --,0,0,0,0,0,0
4/22/2024,Paused,1013 | DA | PMAX, --,USD,150,Daily,Paused,campaign paused; some asset groups limited by policy, --,Performance Max,0,0,0,0,0, --,0,0,0,0.00%, --, --,0, --, --,0,0,0, --,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,,,6,0,0,0,,0,, --,,0,0,0,0,0,0,0,0,0,0,0,0, --, --,0, --, --, --,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0,0, --,0,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,20677367434, --, --, --, --, --, --, --,Standard, --, --,[PURCHASE/WEBSITE], --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Maximize Conversion Value, --,0,0,0,0,0,0
4/15/2024,Paused,0523 | DA | PMAX, --,USD,370,Daily,Paused,campaign paused; most asset groups limited by policy, --,Performance Max,0,0,0,0,0, --,0,0,0,0.00%, --, --,0, --, --,0,0,0, --,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,,,5,0,0,0,,0,, --,,0,0,0,0,0,0,0,0,0,0,0,0, --, --,0, --, --, --,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0,0, --,0,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,20194224631, --,100, --, --, --, --, --,Standard, --, --,[PURCHASE/WEBSITE], --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Maximize Conversions (Target CPA), --,0,0,0,0,0,0
2/26/2024,Paused,1013 | DA | PMAX, --,USD,150,Daily,Paused,campaign paused; some asset groups limited by policy, --,Performance Max,0,0,0,0,0, --,0,0,0,0.00%, --, --,0, --, --,0,0,0, --,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,,,6,0,0,0,,0,, --,,0,0,0,0,0,0,0,0,0,0,0,0, --, --,0, --, --, --,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0,0, --,0,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,20677367434, --, --, --, --, --, --, --,Standard, --, --,[PURCHASE/WEBSITE], --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Maximize Conversion Value, --,0,0,0,0,0,0
3/11/2024,Paused,1013 | DA | PMAX, --,USD,150,Daily,Paused,campaign paused; some asset groups limited by policy, --,Performance Max,0,0,0,0,0, --,0,0,0,0.00%, --, --,0, --, --,0,0,0, --,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,,,6,0,0,0,,0,, --,,0,0,0,0,0,0,0,0,0,0,0,0, --, --,0, --, --, --,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0,0, --,0,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,20677367434, --, --, --, --, --, --, --,Standard, --, --,[PURCHASE/WEBSITE], --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Maximize Conversion Value, --,0,0,0,0,0,0
3/18/2024,Paused,0222 | DA | Ucrania | Discovery, --,USD,100,Daily,Paused,campaign paused; unknown, --,Demand Gen,0,0,0,0,0, --,0,0,0,0.00%, --, --,0, --, --,0,0,0, --,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,,,1,0,0,0,,0,, --,,0,0,0,0,0,0,0,0,0,0,0,0, --, --,0, --, --, --,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0,0, --,0,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,16414278390, --,50, --, --, --, --, --,Standard, --, --,[6443040842], --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Target CPA, --,0,0,0,0,0,0
4/8/2024,Paused,Crisis Ucrania. UNICEF Uruguay, --,USD,30,Daily,Paused,campaign paused, --,Smart,0,0,0,0,0, --,0,0,0,0.00%, --, --,0, --, --,0,0,0, --,0, --, --,0, --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,,,,0,0,,,0,, --,,0,0,0,0,0,0,0,0,0,0,0,0, --, --,0, --, --, --,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,0,0,0,0, --,0,0, --,0,0,0, --,0,0,0,0, --, --,0,0,0,0,0,0,0,0,0,0, --,0,0,0,0,0,0,0,0,0,16564171141, --, --, --, --, --, --, --,Standard, --, --,[], --, --, --, --, --, --, --, --, --, --, --, --, --, --,0,0, --, --,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,Maximize clicks, --,0,0,0,0,0,0
