Facebook,Google,Paid Media,CPA,CPA solo pledge,Dia,Year,Fecha,Semana,Dia,Year,Donación única,Nueva recurrencia mensual,Total donaciones,,,,
$56,$253,$308,$308,$0,-19,2024,1-Apr,14,-19,2024,1,,1,,,,semana santa fin marzo
$52,$293,$346,$173,$346,-18,2024,2-Apr,14,-18,2024,1,1,2,,,,
$50,$236,$287,$143,$0,-17,2024,3-Apr,14,-17,2024,2,,2,,,,21 abril - teleton
$54,$234,$288,$96,$288,-16,2024,5-Apr,14,-16,2024,2,1,3,,,,1-20 pre campana
$97,$126,$222,$74,$74,-15,2024,6-Apr,14,-15,2024,,3,3,,,,28 sorteo
$54,$105,$159,$53,$80,-14,2024,7-Apr,15,-14,2024,1,2,3,,,,
$183, $35 ,$218,$73,$109,-13,2024,8-Apr,15,-13,2024,1,2,3,,,,
$189, $85 ,$275,$137,$275,-12,2024,9-Apr,15,-12,2024,1,1,2,,,,
$186, $141 ,$326,$82,$109,-11,2024,10-Apr,15,-11,2024,1,3,4,,,,
$226, $83 ,$309,$103,$154,-10,2024,11-Apr,15,-10,2024,1,2,3,,,,
, $127 ,$127,$42,$64,-9,2024,12-Apr,15,-9,2024,1,2,3,,,,
$227, $142 ,$369,$185,$369,-8,2024,13-Apr,15,-8,2024,1,1,2,,,,
$268, $106 ,$374,$94,$94,-7,2024,14-Apr,16,-7,2024,,4,4,,,,
$41, $454 ,$495,$124,$247,-6,2024,15-Apr,16,-6,2024,2,2,4,,,,
$240, $472 ,$712,$178,$356,-5,2024,16-Apr,16,-5,2024,2,2,4,,,,
$266, $258 ,$524,$175,$262,-4,2024,17-Apr,16,-4,2024,1,2,3,,,,
,,0,$0,$0,-3,2024,18-Apr,16,-3,2024,,,4,,,,
,,0,$0,$0,-2,2024,19-Apr,16,-2,2024,,,4,,,,
,,0,$0,$0,-1,2024,20-Apr,16,-1,2024,,,4,,,,
,,0,$0,$0,0,2024,21-Apr,17,0,2024,,,55,,,,
,,0,$0,$0,1,2024,22-Apr,17,1,2024,,,4,,,,
,,0,$0,$0,2,2024,23-Apr,17,2,2024,,,4,,,,
,,0,$0,$0,3,2024,24-Apr,17,3,2024,,,4,,,,
,,0,$0,$0,4,2024,25-Apr,17,4,2024,,,3,,,,
,,0,$0,$0,5,2024,26-Apr,17,5,2024,,,3,,,,
