Fecha,Audiencia,Campaña,Ventas,Alcance,Importe gastado (USD),Impresiones,Clics en el enlace,Clics (todos)
6/1/2023,"3. HI, HE, Int travel",Donation TD - Every Day - May 23,,19828,61.24,21578,14,536
6/1/2023,1. Donor lookalikes 10%,Donation TD - Every Day - May 23,1,29528,100.91,33154,23,561
6/2/2023,"3. HI, HE, Int travel",Donation TD - Every Day - May 23,,6616,21.18,7197,2,160
6/2/2023,1. Donor lookalikes 10%,Donation TD - Every Day - May 23,1,26921,98.4,30011,26,431
6/3/2023,1. Donor lookalikes 10%,Donation TD - Every Day - May 23,1,24264,93.77,27608,21,384
6/4/2023,1. Donor lookalikes 10%,Donation TD - Every Day - May 23,,18332,66.67,20128,17,327
6/5/2023,1. Donor lookalikes 10%,Donation TD - Every Day - May 23,,14868,51.89,16935,14,269
6/6/2023,1. Donor lookalikes 10%,Donation TD - Every Day - May 23,,11908,50.35,13038,5,186
6/7/2023,1. Donor lookalikes 10%,Donation TD - Every Day - May 23,,12472,50.45,14254,12,193
6/8/2023,4. Donors & Leads,Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,,725,7.67,906,2,46
6/8/2023,2. Lead lookalikes 10%,Donation TD - Evergreen (Ukraine) - Jun 23,,4043,14.35,4070,21,104
6/8/2023,1. Donor lookalikes 10%,Donation TD - Evergreen (Ukraine) - Jun 23,,4206,16.35,4308,29,188
6/8/2023,2. Lead lookalikes 10%,Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,,5162,19.58,5162,10,182
6/8/2023,"3. HI, HE, Int travel",Donation TD - Evergreen (Ukraine) - Jun 23,,5108,16.33,5184,31,236
6/8/2023,1. Donor lookalikes 10%,Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,,5320,21.9,5580,9,295
6/8/2023,"3. HI, HE, Int travel",Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,,6364,22.13,6664,8,321
6/8/2023,1. Donor lookalikes 10%,Donation TD - Every Day - May 23,2,10972,48.63,12262,9,195
6/9/2023,4. Donors & Leads,Donation TD - Q2 Testing [Ukraine] - Jun 23,,44,0.67,45,,1
6/9/2023,1. Donor lookalikes 10%,Donation TD - Q2 Testing [Ukraine] - Jun 23,,1750,9.11,1799,2,44
6/9/2023,"3. HI, HE, Int travel",Donation TD - Q2 Testing [Ukraine] - Jun 23,,1862,7.67,1935,6,68
6/9/2023,4. Donors & Leads,Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,,1433,35.57,3453,5,86
6/9/2023,2. Lead lookalikes 10%,Donation TD - Q2 Testing [Ukraine] - Jun 23,,5122,27.27,5426,11,179
6/9/2023,1. Donor lookalikes 10%,Donation TD - Every Day - May 23,,8516,44.92,9318,4,123
6/9/2023,1. Donor lookalikes 10%,Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,,10260,45.69,11364,23,474
6/9/2023,2. Lead lookalikes 10%,Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,,10760,46.87,11744,20,509
6/9/2023,1. Donor lookalikes 10%,Donation TD - Evergreen (Ukraine) - Jun 23,,10378,45.79,12529,78,629
6/9/2023,2. Lead lookalikes 10%,Donation TD - Evergreen (Ukraine) - Jun 23,,10924,46.69,13176,52,657
6/9/2023,"3. HI, HE, Int travel",Donation TD - Evergreen (Ukraine) - Jun 23,,12224,46.06,15461,68,924
6/9/2023,"3. HI, HE, Int travel",Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,,13504,45.6,15393,25,702
6/10/2023,4. Donors & Leads,Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,,745,11.62,1011,,12
6/10/2023,1. Donor lookalikes 10%,Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,,3745,18.2,3886,6,139
6/10/2023,2. Lead lookalikes 10%,Donation TD - Evergreen (Ukraine) - Jun 23,,3801,17.81,4114,19,162
6/10/2023,2. Lead lookalikes 10%,Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,,4439,18.51,4621,11,159
6/10/2023,"3. HI, HE, Int travel",Donation TD - Evergreen (Ukraine) - Jun 23,,4690,16.23,5104,35,218
6/10/2023,1. Donor lookalikes 10%,Donation TD - Q2 Testing [Ukraine] - Jun 23,,9290,61.68,10204,23,286
6/10/2023,1. Donor lookalikes 10%,Donation TD - Evergreen (Ukraine) - Jun 23,,9020,51.55,10635,71,385
6/10/2023,2. Lead lookalikes 10%,Donation TD - Q2 Testing [Ukraine] - Jun 23,1,9755,61.59,11083,26,325
6/10/2023,"3. HI, HE, Int travel",Donation TD - Q2 Testing [Ukraine] - Jun 23,,10492,61.41,11959,22,309
6/10/2023,1. Donor lookalikes 10%,Donation TD - Every Day - May 23,,12892,69.74,14367,16,208
6/10/2023,"3. HI, HE, Int travel",Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,3,20020,74.93,22258,27,805
6/11/2023,1. Donor lookalikes 10%,Donation TD - Evergreen (Ukraine) - Jun 23,,4097,28.25,4524,28,130
6/11/2023,1. Donor lookalikes 10%,Donation TD - Q2 Testing [Ukraine] - Jun 23,,5500,38.62,6172,13,172
6/11/2023,"3. HI, HE, Int travel",Donation TD - Q2 Testing [Ukraine] - Jun 23,,6372,38.97,7400,14,221
6/11/2023,2. Lead lookalikes 10%,Donation TD - Q2 Testing [Ukraine] - Jun 23,,11728,68.86,13542,16,295
6/11/2023,1. Donor lookalikes 10%,Donation TD - Every Day - May 23,,22008,106.86,24947,26,319
6/11/2023,"3. HI, HE, Int travel",Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,,37280,106.07,41921,57,1310
6/12/2023,"3. HI, HE, Int travel",Donation TD - Q2 Testing [Ukraine] - Jun 23,1,0,0,0,,0
6/12/2023,1. Donor lookalikes 10%,Donation TD - Every Day - May 23,,12601,67.8,14035,13,164
6/12/2023,2. Lead lookalikes 10%,Donation TD - Q2 Testing [Ukraine] - Jun 23,1,13380,74.6,14801,27,293
6/12/2023,"3. HI, HE, Int travel",Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,1,20344,66.27,21844,27,636
6/13/2023,1. Donor lookalikes 10%,Donation TD - Every Day - May 23,,9368,49.98,10362,9,113
6/13/2023,2. Lead lookalikes 10%,Donation TD - Q2 Testing [Ukraine] - Jun 23,1,10482,49.74,11539,17,113
6/13/2023,"3. HI, HE, Int travel",Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,1,18405,49.93,19486,32,446
6/14/2023,1. Donor lookalikes 10%,Donation TD - Every Day - May 23,,3687,21.15,3909,3,64
6/14/2023,2. Lead lookalikes 10%,Donation TD - Q2 Testing [Ukraine] - Jun 23,,10760,46.58,11753,9,182
6/14/2023,1. Donor lookalikes 10%,Donation TD - Q2 Testing [Ukraine] - Jun 23,,12504,59.98,13459,18,302
6/14/2023,"3. HI, HE, Int travel",Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,,16300,48.45,17090,27,627
6/15/2023,4 Donors & Leads,Donation TD - Q2 Testing [WRW] - Jun 23,1,1653,32.03,3604,15,102
6/15/2023,2 Lead lookalikes 10%,Donation TD - Q2 Testing [WRW] - Jun 23,,8058,41.51,9307,28,414
6/15/2023,"3 HI, HE, Int travel",Donation TD - Q2 Testing [WRW] - Jun 23,,8022,41.93,9508,36,448
6/15/2023,1 Donor lookalikes 10%,Donation TD - Q2 Testing [WRW] - Jun 23,,8739,41.94,9965,22,427
6/15/2023,2. Lead lookalikes 10%,Donation TD - Q2 Testing [Ukraine] - Jun 23,1,12016,46.63,12570,7,173
6/15/2023,1. Donor lookalikes 10%,Donation TD - Q2 Testing [Ukraine] - Jun 23,1,12168,59.64,12933,14,222
6/15/2023,"3. HI, HE, Int travel",Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,1,13112,45.28,13703,18,401
6/16/2023,4 Donors & Leads,Donation TD - Q2 Testing [WRW] - Jun 23,1,1816,53.31,4920,15,99
6/16/2023,1. Donor lookalikes 10%,Donation TD - Q2 Testing [Ukraine] - Jun 23,,12688,60.02,13234,15,245
6/16/2023,"3 HI, HE, Int travel",Donation TD - Q2 Testing [WRW] - Jun 23,,11413,89.85,15155,30,559
6/16/2023,2 Lead lookalikes 10%,Donation TD - Q2 Testing [WRW] - Jun 23,,12273,89.67,14999,33,565
6/16/2023,2. Lead lookalikes 10%,Donation TD - Q2 Testing [Ukraine] - Jun 23,,13729,47.61,14446,10,250
6/16/2023,1 Donor lookalikes 10%,Donation TD - Q2 Testing [WRW] - Jun 23,1,13961,89.59,16901,35,677
6/16/2023,"3. HI, HE, Int travel",Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,,20680,47,22457,11,846
6/17/2023,4 Donors & Leads,Donation TD - Q2 Testing [WRW] - Jun 23,,1515,36.53,3504,5,50
6/17/2023,1. Donor lookalikes 10%,Donation TD - Q2 Testing [Ukraine] - Jun 23,,3246,14.97,3362,8,87
6/17/2023,2. Lead lookalikes 10%,Donation TD - Q2 Testing [Ukraine] - Jun 23,,4077,15.05,4243,4,99
6/17/2023,"3 HI, HE, Int travel",Donation TD - Q2 Testing [WRW] - Jun 23,,5463,29.13,5932,11,238
6/17/2023,2 Lead lookalikes 10%,Donation TD - Q2 Testing [WRW] - Jun 23,,14115,87.22,16484,40,616
6/17/2023,1 Donor lookalikes 10%,Donation TD - Q2 Testing [WRW] - Jun 23,,14954,86.49,17334,48,710
6/17/2023,"3. HI, HE, Int travel",Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,,19610,42.66,20765,19,801
6/18/2023,4 Donors & Leads,Donation TD - Q2 Testing [WRW] - Jun 23,2,1531,29.59,3249,11,41
6/18/2023,2 Lead lookalikes 10%,Donation TD - Q2 Testing [WRW] - Jun 23,,25064,104.1,28399,46,586
6/18/2023,1 Donor lookalikes 10%,Donation TD - Q2 Testing [WRW] - Jun 23,1,27048,104.66,29476,58,600
6/19/2023,4 Donors & Leads,Donation TD - Q2 Testing [WRW] - Jun 23,,1911,54.75,4843,8,55
6/19/2023,2 Lead lookalikes 10%,Donation TD - Q2 Testing [WRW] - Jun 23,3,23384,105.09,26193,34,499
6/19/2023,1 Donor lookalikes 10%,Donation TD - Q2 Testing [WRW] - Jun 23,,25608,105.25,28000,51,523
6/19/2023,"3 HI, HE, Int travel",Donation TD - Q2 Testing [WRW] - Jun 23,,32160,123.17,34367,53,1086
6/20/2023,4 Donors & Leads,Donation TD - Q2 Testing [WRW] - Jun 23,,1037,20.8,1705,5,25
6/20/2023,"3 HI, HE, Int travel",Donation TD - Q2 Testing [WRW] - Jun 23,,14164,59.58,14804,22,450
6/20/2023,"3. HI, HE, Int travel",Donation TD - Q2 Testing [Syria-Turkey] - Jun 23,,17192,47.4,17776,16,619
6/20/2023,1 Donor lookalikes 10%,Donation TD - Q2 Testing [WRW] - Jun 23,1,23086,100.63,25231,41,512
6/20/2023,2 Lead lookalikes 10%,Donation TD - Q2 Testing [WRW] - Jun 23,,23909,100.73,27294,35,520
